 Rank | Team                           | Score      | Uncertainty
------|--------------------------------|------------|------------
    1 | Mississippi State         |  32.299200 |   0.260493
    2 | Arizona                   |  33.867500 |   0.254636
    3 | Notre Dame                |  35.708100 |   0.305728
    4 | Mississippi               |  36.270200 |   0.263943
    5 | Auburn                    |  39.339200 |   0.276776
    6 | Florida State             |  40.992100 |   0.357163
    7 | Marshall                  |  41.538700 |   0.388326
    8 | Georgia Tech              |  42.717400 |   0.302105
    9 | Oklahoma                  |  44.554900 |   0.299012
   10 | TCU                       |  44.761100 |   0.352873
   11 | Ohio State                |  45.270000 |   0.291420
   12 | Alabama                   |  45.319500 |   0.320760
   13 | Texas A&M                 |  45.982500 |   0.371473
   14 | Baylor                    |  46.257500 |   0.455306
   15 | Rutgers                   |  46.446700 |   0.396683
   16 | UCLA                      |  46.745100 |   0.313348
   17 | Kentucky                  |  46.826100 |   0.354897
   18 | Nebraska                  |  47.904400 |   0.297376
   19 | BYU                       |  47.968400 |   0.337868
   20 | Michigan State            |  48.652100 |   0.370323
   21 | Arizona State             |  48.883800 |   0.331191
   22 | Oregon                    |  48.983300 |   0.391987
   23 | Penn State                |  50.052500 |   0.258172
   24 | California                |  50.329600 |   0.335826
   25 | Air Force                 |  50.378500 |   0.343179
   26 | Georgia                   |  50.476000 |   0.375119
   27 | East Carolina             |  50.864100 |   0.315869
   28 | Missouri                  |  51.118500 |   0.333312
   29 | Minnesota                 |  51.374300 |   0.347185
   30 | Utah                      |  51.460800 |   0.305575
   31 | Colorado State            |  51.516700 |   0.312948
   32 | Washington                |  51.677700 |   0.280872
   33 | Oregon State              |  51.972600 |   0.399183
   34 | Louisville                |  52.587900 |   0.374212
   35 | LSU                       |  52.614400 |   0.322672
   36 | Duke                      |  53.539400 |   0.328681
   37 | Kansas State              |  53.794100 |   0.394435
   38 | Florida                   |  54.081500 |   0.418059
   39 | Maryland                  |  54.138200 |   0.353809
   40 | Northern Illinois         |  54.242900 |   0.402155
   41 | USC                       |  54.632800 |   0.357810
   42 | Virginia Tech             |  54.782600 |   0.405907
   43 | Virginia                  |  54.844500 |   0.326879
   44 | Stanford                  |  54.880300 |   0.300170
   45 | Georgia Southern          |  55.659400 |   0.326277
   46 | Oklahoma State            |  55.781900 |   0.363471
   47 | Northwestern              |  56.159200 |   0.320353
   48 | Middle Tennessee          |  56.199400 |   0.364092
   49 | North Carolina State      |  56.818500 |   0.363005
   50 | Clemson                   |  56.940500 |   0.346939
   51 | Nevada                    |  56.965400 |   0.417503
   52 | Arkansas                  |  56.967800 |   0.330841
   53 | Boise State               |  57.075600 |   0.279687
   54 | West Virginia             |  57.248900 |   0.359111
   55 | Memphis                   |  57.347000 |   0.293970
   56 | Arkansas State            |  57.697600 |   0.288092
   57 | Temple                    |  57.853300 |   0.415259
   58 | Bowling Green             |  58.071000 |   0.404466
   59 | Utah State                |  58.463400 |   0.332576
   60 | Indiana                   |  58.824100 |   0.317231
   61 | Akron                     |  59.018700 |   0.437288
   62 | Iowa                      |  59.127900 |   0.298422
   63 | South Alabama             |  59.208900 |   0.315260
   64 | Boston College            |  59.671200 |   0.367877
   65 | South Carolina            |  59.960800 |   0.250002
   66 | Miami (Fla.)              |  60.968100 |   0.366336
   67 | Wisconsin                 |  60.975500 |   0.341458
   68 | Toledo                    |  61.108300 |   0.446481
   69 | Texas State               |  61.219200 |   0.342581
   70 | Wyoming                   |  61.511100 |   0.362658
   71 | Louisiana-Monroe          |  61.905700 |   0.306609
   72 | Texas                     |  62.308700 |   0.257618
   73 | Purdue                    |  63.080900 |   0.336794
   74 | Illinois                  |  64.392600 |   0.315313
   75 | Fresno State              |  64.579300 |   0.320750
   76 | Rice                      |  64.643400 |   0.351361
   77 | UCF                       |  64.757000 |   0.436050
   78 | Tennessee                 |  65.465000 |   0.311890
   79 | Old Dominion              |  65.567200 |   0.381778
   80 | Central Michigan          |  67.029800 |   0.364030
   81 | New Mexico                |  67.636300 |   0.287389
   82 | Cincinnati                |  67.673300 |   0.328520
   83 | Western Kentucky          |  68.500400 |   0.286238
   84 | Ohio                      |  68.727800 |   0.362273
   85 | Syracuse                  |  68.859700 |   0.363762
   86 | Navy                      |  68.983400 |   0.322994
   87 | UAB                       |  69.015800 |   0.322175
   88 | Louisiana-Lafayette       |  69.292100 |   0.376010
   89 | Army                      |  69.873800 |   0.392891
   90 | South Florida             |  69.953800 |   0.390418
   91 | Colorado                  |  70.534900 |   0.335518
   92 | Houston                   |  70.848100 |   0.344440
   93 | Kansas                    |  70.913700 |   0.334191
   94 | Washington State          |  71.236500 |   0.346659
   95 | San Jose State            |  71.323900 |   0.372987
   96 | Texas Tech                |  71.387600 |   0.273242
   97 | Western Michigan          |  71.937400 |   0.357734
   98 | North Carolina            |  72.061000 |   0.282365
   99 | North Texas               |  72.305300 |   0.309483
  100 | San Diego State           |  72.410200 |   0.368530
  101 | Michigan                  |  72.942100 |   0.359021
  102 | Pittsburgh                |  73.129100 |   0.345236
  103 | Wake Forest               |  74.288400 |   0.340128
  104 | Southern Miss             |  75.374700 |   0.345483
  105 | New Mexico State          |  75.532400 |   0.273280
  106 | Buffalo                   |  76.225700 |   0.374058
  107 | Florida Atlantic          |  76.405400 |   0.300540
  108 | Tulsa                     |  76.534800 |   0.350023
  109 | UTSA                      |  77.153100 |   0.325377
  110 | UTEP                      |  77.161200 |   0.265022
  111 | Vanderbilt                |  77.615200 |   0.292340
  112 | Tulane                    |  78.557900 |   0.452054
  113 | Appalachian State         |  80.935500 |   0.360905
  114 | Georgia State             |  81.260900 |   0.377311
  115 | Connecticut               |  81.608200 |   0.381636
  116 | Hawaii                    |  81.736500 |   0.375012
  117 | Eastern Michigan          |  82.408400 |   0.309156
  118 | SMU                       |  82.834200 |   0.317030
  119 | Kent State                |  83.969900 |   0.298625
  120 | Idaho                     |  84.654000 |   0.263844
  121 | UNLV                      |  86.576900 |   0.313761
  122 | Massachusetts             |  94.017400 |   0.274593
  123 | Florida International     | 102.123700 |   0.125723
  124 | Louisiana Tech            | 111.879100 |   0.070826
  125 | Miami (Ohio)              | 115.484900 |   0.081929
  126 | Iowa State                | 117.897700 |   0.044518
  127 | Ball State                | 125.997700 |   0.000438
  128 | Troy                      | 127.000000 |   0.000000
