 Rank | Team                           | Score      | Uncertainty
------|--------------------------------|------------|------------
    1 | Alabama                   |  14.148000 |   0.612084
    2 | Florida State             |  16.578000 |   0.566344
    3 | Ohio State                |  17.949000 |   0.627432
    4 | Oregon                    |  19.859000 |   0.767981
    5 | Mississippi State         |  22.655000 |   0.684981
    6 | TCU                       |  22.754000 |   0.798445
    7 | Arizona                   |  27.335000 |   0.675163
    8 | Baylor                    |  27.442000 |   0.724887
    9 | Missouri                  |  28.774000 |   0.673955
   10 | Michigan State            |  28.939000 |   0.873705
   11 | Boise State               |  29.339000 |   0.812144
   12 | Wisconsin                 |  29.784000 |   0.773534
   13 | Mississippi               |  29.844000 |   0.753323
   14 | UCLA                      |  32.274000 |   0.689695
   15 | LSU                       |  34.309000 |   0.910867
   16 | Georgia Tech              |  34.676000 |   0.636403
   17 | Arizona State             |  36.328000 |   0.743060
   18 | USC                       |  36.475000 |   0.838387
   19 | Kansas State              |  36.873000 |   1.023556
   20 | Auburn                    |  37.776000 |   0.986318
   21 | Marshall                  |  37.920000 |   0.837434
   22 | Georgia                   |  38.217000 |   0.712026
   23 | Clemson                   |  38.686000 |   0.815034
   24 | Colorado State            |  39.702000 |   0.762293
   25 | Louisville                |  40.165000 |   0.816991
   26 | Nebraska                  |  40.663000 |   0.955235
   27 | Stanford                  |  40.956000 |   1.044927
   28 | Minnesota                 |  41.027000 |   0.821366
   29 | Air Force                 |  42.448000 |   0.661302
   30 | Utah                      |  42.912000 |   0.855337
   31 | Cincinnati                |  43.869000 |   1.011171
   32 | Texas A&M                 |  43.880000 |   1.164349
   33 | Northern Illinois         |  43.970000 |   0.993344
   34 | Arkansas                  |  44.604000 |   0.875331
   35 | Washington                |  45.081000 |   1.099454
   36 | Utah State                |  46.200000 |   1.070573
   37 | Memphis                   |  46.647000 |   0.875824
   38 | Rutgers                   |  48.131000 |   1.070886
   39 | Oklahoma                  |  48.371000 |   0.981068
   40 | UCF                       |  49.462000 |   0.978610
   41 | West Virginia             |  49.826000 |   0.959122
   42 | Duke                      |  50.306000 |   0.983944
   43 | BYU                       |  50.599000 |   1.000265
   44 | Maryland                  |  50.823000 |   0.975748
   45 | Texas                     |  51.362000 |   1.072627
   46 | Notre Dame                |  51.632000 |   0.655217
   47 | Georgia Southern          |  52.608000 |   1.137328
   48 | Iowa                      |  53.103000 |   1.107635
   49 | Navy                      |  53.873000 |   1.072033
   50 | Boston College            |  55.024000 |   0.955818
   51 | Illinois                  |  55.581000 |   0.833143
   52 | Tennessee                 |  55.665000 |   1.094197
   53 | Oklahoma State            |  57.421000 |   1.003840
   54 | East Carolina             |  57.464000 |   1.255760
   55 | North Carolina State      |  58.241000 |   0.865337
   56 | Western Kentucky          |  58.297000 |   0.768315
   57 | Florida                   |  58.349000 |   1.004600
   58 | North Carolina            |  58.920000 |   0.880286
   59 | South Carolina            |  58.952000 |   1.011287
   60 | San Diego State           |  59.042000 |   0.886661
   61 | Louisiana-Lafayette       |  59.561000 |   0.869777
   62 | Western Michigan          |  59.593000 |   0.946066
   63 | Kentucky                  |  61.068000 |   0.884876
   64 | Penn State                |  61.262000 |   0.980004
   65 | Nevada                    |  61.756000 |   0.947080
   66 | Michigan                  |  62.228000 |   1.053568
   67 | Houston                   |  62.301000 |   0.827583
   68 | Northwestern              |  62.490000 |   0.790972
   69 | Miami (Fla.)              |  62.889000 |   0.710352
   70 | Oregon State              |  62.949000 |   1.058481
   71 | Pittsburgh                |  63.087000 |   0.806708
   72 | Texas State               |  64.965000 |   0.933416
   73 | California                |  65.150000 |   1.238879
   74 | Virginia Tech             |  65.226000 |   0.771168
   75 | Rice                      |  66.293000 |   1.022440
   76 | Virginia                  |  66.574000 |   0.986143
   77 | Temple                    |  66.611000 |   0.953555
   78 | South Alabama             |  67.951000 |   0.970635
   79 | Fresno State              |  68.458000 |   0.843849
   80 | Toledo                    |  69.181000 |   1.195415
   81 | UTEP                      |  70.186000 |   0.778214
   82 | Ohio                      |  70.943000 |   1.180894
   83 | Arkansas State            |  71.817000 |   0.803743
   84 | Indiana                   |  73.767000 |   1.051500
   85 | New Mexico                |  75.836000 |   0.869093
   86 | Middle Tennessee          |  76.131000 |   0.894579
   87 | UAB                       |  76.799000 |   0.717312
   88 | Central Michigan          |  77.208000 |   0.823622
   89 | Bowling Green             |  77.216000 |   0.791776
   90 | Washington State          |  77.667000 |   1.243141
   91 | Wyoming                   |  78.491000 |   1.024721
   92 | Old Dominion              |  81.545000 |   1.013439
   93 | Texas Tech                |  82.453000 |   1.042672
   94 | South Florida             |  82.489000 |   0.997931
   95 | Wake Forest               |  82.540000 |   0.886624
   96 | Purdue                    |  82.770000 |   0.826881
   97 | Tulane                    |  84.364000 |   0.748641
   98 | Hawaii                    |  84.501000 |   0.793517
   99 | Buffalo                   |  84.591000 |   0.819371
  100 | Syracuse                  |  84.642000 |   0.842404
  101 | Vanderbilt                |  85.420000 |   1.088486
  102 | Colorado                  |  85.422000 |   1.041163
  103 | Army                      |  85.477000 |   0.931543
  104 | Louisiana Tech            |  85.876000 |   0.513170
  105 | Appalachian State         |  86.496000 |   0.447371
  106 | Kansas                    |  86.765000 |   1.047680
  107 | Louisiana-Monroe          |  89.541000 |   0.909950
  108 | UTSA                      |  90.198000 |   0.622845
  109 | North Texas               |  90.509000 |   0.692337
  110 | Akron                     |  93.348000 |   0.737447
  111 | Florida Atlantic          |  93.552000 |   0.764847
  112 | San Jose State            |  94.853000 |   0.913633
  113 | Tulsa                     |  95.026000 |   0.711753
  114 | Connecticut               |  96.364000 |   0.738608
  115 | Southern Miss             |  97.030000 |   0.760533
  116 | SMU                       |  97.974000 |   0.602274
  117 | Ball State                |  97.985000 |   0.392491
  118 | Kent State                |  99.409000 |   0.621995
  119 | UNLV                      | 100.977000 |   0.793504
  120 | Eastern Michigan          | 102.450000 |   0.633862
  121 | Massachusetts             | 102.884000 |   0.559084
  122 | Idaho                     | 103.647000 |   0.606245
  123 | New Mexico State          | 106.716000 |   0.753923
  124 | Florida International     | 108.879000 |   0.328365
  125 | Georgia State             | 113.131000 |   0.525209
  126 | Troy                      | 116.427000 |   0.248041
  127 | Iowa State                | 120.845000 |   0.217978
  128 | Miami (Ohio)              | 121.140000 |   0.157345
